,Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
9,Argentina,8.225998443447297,8.225998443447297,8.225998443447295,8.225998443447295,8.225998443447295,8.225998443447295,7.52859334896618,7.40512875012761,7.40512875012761,9.39316507147205,9.39797629654303
13,Australia,29.622749930977466,29.62274993097746,29.62274993097746,29.622749930977456,29.62274993097746,29.62274993097746,28.5918417236676,29.7087937305528,29.7087937305528,29.7087926208931,30.395527849221
14,Austria,28.550229764211537,28.55022976421154,28.55022976421154,28.55022976421154,28.55022976421154,28.550229764211544,28.4439825865815,28.3979816556051,28.3979816556051,28.4168836235236,29.0943192997424
25,Belarus,9.385046441976678,9.385046441976677,9.385046441976678,9.385046441976678,9.385046441976678,9.385046441976678,9.51125836698787,9.35349335261767,9.35349335261767,9.35349356883009,9.35349356883009
17,Belgium,23.51222711899816,23.51222711899816,23.51222711899816,23.51222711899816,23.512227118998158,23.51222711899816,24.5781622457406,24.6491730272904,24.6491730272904,26.1053880527861,17.5792392418833
29,Brazil,27.141849792533655,27.141849792533655,27.14184979253366,27.14184979253366,27.14184979253366,27.141849792533655,20.7372842292403,28.5782526119273,28.5782526119273,28.5782512013805,29.2372083081929
35,Canada,7.352837146766809,7.3528371467668086,7.352837146766808,7.352837146766808,7.3528371467668086,7.352837146766808,6.47711948156826,6.47719362274678,6.47719362274678,7.83606041445404,9.49661859231818
39,Chile,28.62043766509758,28.620437665097583,28.62043766509758,28.62043766509758,28.62043766509758,28.62043766509758,13.5939050071834,27.0392385768099,27.0392385768099,37.6184456529839,37.8113605117008
40,China,14.91949415336344,14.919494153363438,14.91949415336344,14.91949415336344,14.91949415336344,14.91949415336344,15.9392803086493,14.5876416474392,14.5876416474392,14.7363957337724,14.7465114295171
45,Colombia,14.703543002739474,14.703543002739472,14.703543002739472,14.70354300273947,14.703543002739472,14.703543002739474,9.44644364805646,15.6885212658182,15.6885212658182,15.6849963074828,17.0092325265217
54,Czechia,22.063875826986024,22.063875826986024,22.06387582698602,22.06387582698602,22.06387582698602,22.06387582698602,21.6859243630073,22.1556760039807,22.1556760039807,22.1598407460007,22.1622620179607
58,Denmark,17.844237064133438,17.844237064133438,17.84423706413344,17.84423706413344,17.84423706413344,17.844237064133438,17.7570683242766,17.9276418331277,17.9276418331277,17.7064790041568,17.9023543259784
67,"Egypt, Arab Rep.",11.5508681019636,11.5508681019636,11.5508681019636,11.5508681019636,11.5508681019636,11.5508681019636,11.551153494537,11.5507970192091,11.5507970192091,11.5507964884314,11.5507964884314
71,Estonia,19.66923795262742,19.66923795262742,19.66923795262742,19.66923795262742,19.66923795262742,19.66923795262742,19.4868332703463,19.508099047707,19.508099047707,19.713708796991,20.1294496003858
75,Finland,13.727194983820642,13.727194983820642,13.727194983820644,13.727194983820642,13.72719498382064,13.727194983820642,14.2109185358442,14.1603139347862,14.1603139347862,13.0555185005229,13.0489100131637
77,France,32.74054894461796,32.74054894461796,32.740548944617956,32.740548944617956,32.740548944617956,32.740548944617956,26.0807183526812,33.2074996806332,33.2074996806332,35.0387361906798,36.1682908184624
55,Germany,38.72073655487582,38.72073655487582,38.72073655487582,38.72073655487582,38.72073655487582,38.72073655487581,38.7268950286066,38.7874034693079,38.7874034693079,38.4691053780516,38.8328754291051
89,Greece,10.53534605384898,10.53534605384898,10.53534605384898,10.53534605384898,10.535346053848981,10.53534605384898,8.56334528515359,11.0283505287585,11.0283505287585,11.0283425069866,11.0283414195877
109,India,3.4793065834562613,3.4793065834562618,3.4793065834562613,3.4793065834562618,3.4793065834562618,3.4793065834562618,3.47930598498439,3.47930689489956,3.47930689489956,3.4793065712489,3.4793065712489
106,Indonesia,5.227301831820471,5.227301831820472,5.227301831820472,5.227301831820472,5.227301831820472,5.227301831820472,5.06335901930066,5.26823344567267,5.26823344567267,5.26823969424399,5.26844355421237
111,Ireland,4.04208342696925,4.04208342696925,4.04208342696925,4.04208342696925,4.04208342696925,4.04208342696925,4.04293371670989,4.04223100626643,4.04223100626643,4.0418745023801,4.0411469032234
