,Country Name,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
0,Albania,0.2417092943499443,0.23090978671326556,0.2264098179371988,0.22407959916400103,0.2240372126903559,0.22306212724740762,0.22231162964546888,0.22068171366271278,0.23069437113958582,0.229702191893456,0.23302632384583846,0.23190950773026933,0.2280472478255766,0.22550735521299622,0.22787969137300076,0.23461439615244767,0.23478356255116162,0.2344814852113495,0.23389869990189568
1,Argentina,0.16252458830124422,0.17674560287134664,0.1888568052922119,0.18301606001415033,0.19119341882422808,0.20264838892379736,0.22733737587342845,0.22910019697952597,0.23711637768783647,0.2616257657529111,0.2723184694827674,0.2549992135596184,0.249767285809068,0.23845463374009265,0.25295732196107784,0.24562636758505893,0.2485709896435377,0.24640958569693444,0.24793363678336963
2,Armenia,0.19780208309428707,0.19493814251554198,0.20615334381817507,0.19503783156841858,0.21645069881315335,0.21740341626309842,0.221363184606631,0.21939151287558042,0.25090631192570473,0.24379337182029004,0.22853815111845424,0.2223973043189692,0.2202435445290136,0.22709308800417624,0.23863659532844575,0.25408699306082766,0.2521694190091697,0.25894652365800175,0.2734534486452362
3,Australia,0.15010403996255337,0.15000401586234105,0.16453160248040666,0.18568725409899017,0.20608416418513192,0.2160195309781646,0.2473503818312957,0.23095440966645586,0.25339496386373295,0.283965562537619,0.2577733577656714,0.250680584632369,0.23391319496253762,0.2101103545065674,0.20982955766216116,0.24455732391778282,0.24913255431840636,0.27361855689629017,0.27567004304365095
4,Austria,0.24909068056171593,0.24661836709179127,0.24350636952181948,0.23920002305491692,0.23633812104462737,0.23782717958678315,0.23153867281714063,0.23606863556394425,0.23024141043523053,0.22330796399226305,0.22061008712887006,0.22146878739104137,0.22114806184518915,0.22272809393143192,0.22328022106554962,0.2199292504197872,0.21656885804162473,0.21695094870863052,0.21809035815800074
5,Azerbaijan,0.14122469626263504,0.15045139485509762,0.1752021905363625,0.21476644419864507,0.23642057708406147,0.24083732416604198,0.29883436042325506,0.19950398195756036,0.24415311085714314,0.3003667823704106,0.3108328955604297,0.3104149993864053,0.290318391177968,0.18306603783046915,0.15697478815481616,0.18917329322899484,0.2303018763645842,0.20571418206453454,0.14563675138228457
6,Burundi,0.129649964551111,0.13240618054769432,0.13808037882627386,0.16666823579943232,0.185476445292498,0.18543736923049614,0.2042664367315658,0.21286610868278977,0.2587691308022022,0.28095489106513283,0.2731030303747015,0.23906818474140776,0.23660403573903374,0.24653737609338494,0.26661903163715245,0.27812331666467466,0.25227213207743887,0.2612844494690669,0.2970564056071445
7,Belgium,0.2403570625534443,0.24032680403083076,0.237658235285084,0.23405010449114405,0.23212291320368708,0.23493071762030612,0.22829068399498167,0.23267620403237627,0.2291235906302241,0.22422321744504464,0.22187047196703408,0.22252145653539243,0.22379166033307035,0.22605248164226752,0.22859640407903062,0.2262201044460003,0.22261966375029946,0.22459124248446305,0.22748907694305717
8,Benin,0.1723682052842762,0.1953417914896828,0.19744266181397746,0.20411459605429053,0.2169506191579883,0.21977525211341273,0.22743212435288876,0.22486560992651605,0.2451260581067354,0.26084153250318975,0.2445314979212069,0.23751879887968783,0.23759594211037435,0.23198454759397763,0.24197786132392518,0.25156752893480044,0.2518531382303354,0.24325820324340025,0.23404512072078806
9,Burkina Faso,0.17477158957455194,0.2091821042145261,0.19481974287438764,0.161745586646509,0.16351699915746673,0.17089778892416327,0.172990330095704,0.18867063062885517,0.2327338292265938,0.2628351058469209,0.26358573454063794,0.24182956375954107,0.22784206683270564,0.23746736840834132,0.2655870857567135,0.2646937026691407,0.249802176888456,0.26707846399469803,0.325998302859483
10,Bangladesh,0.32701705962054844,0.2949546398164592,0.2763946795847165,0.26049219009752445,0.24452159348996078,0.2200974760245435,0.19077838511180695,0.2175341121866826,0.1988453295193897,0.18390077800104093,0.19948718535960905,0.19831954748825442,0.19791475376355008,0.22151028138654477,0.22491793922715317,0.2131843560647379,0.20319413829259647,0.2101827227132416,0.21826161536074087
11,Bulgaria,0.2153622056112807,0.21706630127989057,0.2064235047535933,0.20911768127905195,0.22089468624352726,0.2265064154291513,0.22674598042803898,0.2311078432640363,0.23292403848788226,0.2303341743559757,0.23105506995384065,0.22967640255795457,0.2314409665366974,0.240569403264454,0.2435607968159297,0.23908721783995174,0.2366422015761579,0.23813457689076853,0.2473063251185639
12,Bosnia and Herzegovina,0.22532424384716943,0.22745310199069166,0.22762608337670004,0.22578587739860798,0.23274566959855805,0.23016543429714884,0.22573255416077495,0.2256589319363709,0.22907016455448193,0.2295420703613715,0.2236398519883258,0.2223516539178846,0.22278485213259613,0.231439353485699,0.23260386220675106,0.232868811556031,0.2368568981164206,0.23680586279002894,0.23948216311631726
13,Belarus,0.2215070359050895,0.21830055201468196,0.2181887233137352,0.22027112497680146,0.22868912983261777,0.22296235680437568,0.24746779483879316,0.2200376297076019,0.22451231174439298,0.24434555495668095,0.2646417875994451,0.25934365378435476,0.256050400986515,0.21903837623518957,0.20615376586319786,0.2167160814006568,0.22320337292662876,0.22161068828826233,0.21481430352753222
14,Belize,0.20081660885058814,0.1792668896472514,0.1799655027206781,0.176580743756012,0.19606154674558904,0.18092496965376045,0.1960973759065692,0.22332692565949588,0.23880807664984097,0.2501812496307297,0.2470361166492766,0.24496813320452812,0.24743977044177098,0.24619079553693204,0.2780059789245858,0.2671886460164211,0.2502000224500054,0.2539546477220378,0.257297524206536
15,Bolivia,0.1686972401883673,0.1790780171730015,0.20723409423957742,0.20118532285128532,0.2264601264442263,0.2521943587126489,0.2659380595927927,0.2557621464619822,0.26873715297545303,0.3173619245158629,0.3018638188431012,0.26974372894526244,0.2555955574820791,0.19131294466749302,0.16162438532446333,0.18162816433739967,0.19060211792077988,0.18888893082139374,0.1875005016616188
16,Brazil,0.19866377383546183,0.19633965046166307,0.19964399838014965,0.20131807911968233,0.21195070854786355,0.21964488196043433,0.22747835315351833,0.2202866951673106,0.25683123105593264,0.2758706182894074,0.2610600097069848,0.25389844246245274,0.24526548046836266,0.21672553975578654,0.22193476995851735,0.23466710571674057,0.23170288965685515,0.23206454869903265,0.23341920726380094
17,Bhutan,0.19017113945396888,0.19224882833265194,0.22563085796528135,0.24416105775514552,0.24941346069601253,0.22432129054960714,0.2542818809055669,0.23072001390372124,0.2474582182120344,0.25269270054199294,0.22845085782067026,0.2198826850925985,0.21864700908598841,0.21493912404462298,0.21293696342017054,0.22768950641773178,0.24583403742413867,0.23828034285608407,0.2278245916960763
18,Botswana,0.25306412966100233,0.24569106596265983,0.24481571329395238,0.2337130073115352,0.24368441195224477,0.252930856607927,0.2137916678609259,0.2179231497529535,0.224806619000479,0.21474453647403577,0.21391950934359424,0.21219395725989582,0.2194075573676174,0.23438394931125855,0.23794670851382282,0.22673703001202236,0.21888493674191165,0.22201598690106503,0.22076650377588422
19,Canada,0.19906119724997293,0.21172497126110296,0.2240224212748217,0.23432438520207396,0.23467788535631548,0.24277774906342922,0.25518269035702396,0.22341126887160204,0.24195220536393364,0.24746611787169484,0.2413614346423947,0.2437551367850408,0.24205092304996934,0.21620809287804205,0.2148452192234338,0.22164074036930817,0.22477727863809727,0.22133614390073006,0.20933996592155943
